nome_musica,nome_artista,nome_album,data_reproducao,popularidade,id_musica
Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,2024-10-26T00:51:02.835Z,86,3hxIUxnT27p5WcmjGUXNwx
I'll Be Good,Jaymes Young,Feel Something,2024-10-26T00:48:17.308Z,61,4JuJZzGcswQszYiKJSnC6i
Good Looking,Suki Waterhouse,Good Looking,2024-10-26T00:44:09.940Z,81,0j3mqDTK4Z6lvrLzFCUUz6
spaghetti's dream,t3.,spaghetti's dream,2024-10-25T23:27:00.171Z,43,2Oprnn05IzmOLO1J9LTffv
Nostalgia,Team Astro,Lofi Girl – chill beats for LEGO building,2024-10-25T23:25:16.724Z,45,7yZLNobQ4ZEibMQOM9GxGz
Talking Till Late,azayaka,Keeping Time,2024-10-25T23:22:45.270Z,43,4lT4BAFneflrwu4jTVnA2P
Distant Star,Nadav Cohen,Stories from another world,2024-10-25T23:20:09.968Z,35,0e3H8ACOcJJYLYS0m6qb2Z
feelings for you,Barradeen,Goodies,2024-10-25T23:17:00.252Z,32,3UXDVjKGCRvxMcW6BOw5dB
Pumpkin Spice,Mister Decaf,Pumpkin Spice,2024-10-25T23:14:59.813Z,36,3j0XmlkKGt4nmewomitZIw
I'm still awake,Mr. Donsai,Healing,2024-10-25T23:13:06.891Z,26,1D8QY3EDtytTAB1QuDSYoL
Get Lost In The Mind's Ocean,eugenio izzi,Feel Free To Imagine,2024-10-25T23:11:21.804Z,56,38Qt6C4oIIrCCXXoU0tsa2
Starlight,mono._,Dreams of Sky,2024-10-25T23:08:54.716Z,48,138DnfldEsvAiWlx9ElW7Z
Shinano River,Lost Files,The Last Journey Of The Crane,2024-10-25T23:06:34.209Z,36,134J8Qg68kI99MaFhMewvQ
Moonlight,prins,Boreal nights,2024-10-25T23:04:23.345Z,47,2rVYEJ0bSq4AtOHLfElYVs
Fairy Forest,Blue Fox,Lofi Girl – chill beats for LEGO building,2024-10-25T23:01:40.385Z,41,5JYejwJXvcv0PxQZTZcYnj
Theme of the Swaying Forest,Tenno,Sleeping Soul,2024-10-25T22:58:35.544Z,39,7N1srpIfPEGdPG78uVBCCA
what was i made for?,rosarummet,stories,2024-10-25T22:55:18.940Z,48,1fPUVZC36OdwEVxzvZW2iD
Guardians of the Galaxy Final Battle Scene (O-o-h Child) (LoFi Version),The Remix Station,fantasy films but lofi,2024-10-25T22:51:49.193Z,28,2hgj0uiv5Lkdo7hQg0YTw2
Symphony No. 40 - lofi Mozart,Crazy Monkey,classical music but it's lofi 15 (Mozart) [lofi Mozart],2024-10-25T22:50:09.687Z,25,0eBjHUN00A5QmyF99Gh820
blossom,ai sayuri,blossom,2024-10-25T22:47:29.748Z,48,4Hv7TnBfBCzSCbqH0k4RhE
Merry Go Round,Otaku,Ghibli Lofi,2024-10-25T22:45:12.120Z,48,1Z5Ic5lFMbvsmVsTar0tc6
Bonsai Tree,Tenno,Lofi Girl – chill beats for LEGO building,2024-10-25T22:43:27.672Z,42,088YlvdqN0IHs5Znm2P5An
northen lights,LVTA,northen lights,2024-10-25T22:40:54.501Z,39,1GpbWfwb4rR7UiNfaKdZ16
polaris,stream_error,polaris,2024-10-25T22:38:48.984Z,46,3PblbFq5V85YfJdP6YbyGt
Elf,Blue Fox,Sunny Hill,2024-10-25T22:36:49.323Z,50,0niiRKkWIfssxMkmk2ulaD
After School,Jordy Chandra,School Time,2024-10-25T22:34:36.281Z,36,5jCCxZsGcAusFYMqtmYGhj
The Girl Who Fell from the Sky,Otaku,Ghibli Lofi,2024-10-25T22:32:45.587Z,53,0hmELN1LsoFyKCE4AqrTFN
Snooze Groove,Dozy Duzzn,Snooze Groove,2024-10-25T22:30:49.908Z,55,0Pvu5OJLVcukLnrLFZ8YgH
In the end,GUD NGHT,In the end,2024-10-25T22:28:45.092Z,0,35fkNaHnRliY4c9saGwZBl
4 You,DonLear,4 You,2024-10-25T22:25:47.098Z,31,7KMIy6WAxUvs2a568ImQsD
Introvert,Tenno,Mind Temple,2024-10-25T22:23:44.878Z,39,587bIC6hpS8yvHjDK7mxeB
Moonlight Glaze,sinnr,Sunday Morning,2024-10-25T22:21:23.249Z,44,60HqCPDN34BrNAoqVt5J4g
Scarlet Feelings,Raimu,Meditative Flow,2024-10-25T22:19:41.334Z,44,21qx8TAMAiE0UXEL7xYmEh
As It Was,slowburn,Poles Apart,2024-10-25T22:17:05.895Z,50,7igjEhxDUngK4rBiAArqvF
Fragments of Love,Hakuuro,Mom Memories,2024-10-25T22:14:37.887Z,44,5aFYN6lBIuErm9YZzwvOUU
Hide and Seek,C4C,Playing Outside EP,2024-10-25T22:12:06.909Z,42,6xjE7ITglQMlZKyLQhNjKz
Autumn Visions,Uxxii,Autumn Visions,2024-10-25T22:09:20.015Z,39,1qEB06ay6oCgNG9bRYzgNq
Lune Eyes,Zadbeatz,Lune Eyes,2024-10-25T22:07:04.823Z,42,4Xn0gSBQpXUNiabzMnQiIH
Suspended Emotions,stream_error,Lonely Days,2024-10-25T22:04:14.912Z,38,6cJ2xRnIbsS80aIajzzIeB
Mars Melody,Sheath,Mars Melody,2024-10-25T22:01:35.017Z,26,4jBuR0RZwJG5NMzyUuUOqr
Shishi,Fioren,Shishi,2024-10-25T21:59:00.451Z,38,2dlOh0SJe8DyzpLDeaUVng
seasonal gravity,mtch.,seasonal gravity,2024-10-25T21:56:45.324Z,35,6TYAAv83kco2tRbZFLyLle
One summer's day,Otaku,Ghibli Lofi,2024-10-25T21:54:28.033Z,55,738ezpBPFkPV6zZmJLicaN
Ascend,Zadbeatz,Ascend,2024-10-25T21:52:20.479Z,42,5qlQGFKcWblz8UssL3PPbM
Walking in Ueno,LoFi Waiter,Coffee Sunrise,2024-10-25T21:49:55.961Z,51,3RjVTTJwqgKsNUImPBfmNT
"Early Morning, Late Night",Jishle,Surroundings,2024-10-25T21:48:23.639Z,48,0ks0OOuiPFnc0t2MMIyIU9
edda,Kanisan,Edda,2024-10-25T21:46:23.485Z,49,313sTCLxVaZJYpQMV5FPNH
Schoolyard Memories,azayaka,Keeping Time,2024-10-25T21:44:28.533Z,38,4Xm0AFk6fNq37LQdR0Povr
sweden ~ minecraft lofi,Closed on Sunday,sweden ~ minecraft lofi,2024-10-25T21:41:38.995Z,42,5hw3LHyQuf4cHCAxktJSqW
moonbeams,cloudoris,homeland,2024-10-25T21:40:13.992Z,45,7ggBI8ystfVRt4LnxDcbfh
